code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
CTD,2023-08-09,15:08:04,HOSE,STOCK,66.8,71.4,62.2,67.0,67.0,65.0,66.0,65.91,67.0,67.0,65.0,66.0,65.91,622900.0,41055290000.0,0.0,0.0,-0.8,-0.8,-1.1976
CTI,2023-08-09,15:08:04,HOSE,STOCK,17.0,18.15,15.85,17.1,17.2,16.9,17.0,17.04,17.1,17.2,16.9,17.0,17.04,551000.0,9386885000.0,0.0,0.0,0.0,0.0,0.0
D2D,2023-08-09,15:08:04,HOSE,STOCK,30.4,32.5,28.3,30.35,30.35,30.1,30.1,30.19,30.35,30.35,30.1,30.1,30.19,42500.0,1282940000.0,0.0,0.0,-0.3,-0.3,-0.9868
CIG,2023-08-09,15:08:04,HOSE,STOCK,7.45,7.97,6.93,7.45,7.45,7.38,7.45,7.42,7.45,7.45,7.38,7.45,7.42,209200.0,1552356000.0,0.0,0.0,0.0,0.0,0.0
CII,2023-08-09,15:08:04,HOSE,STOCK,21.3,22.75,19.85,21.1,21.4,20.95,21.0,21.13,21.1,21.4,20.95,21.0,21.13,10111200.0,213651360000.0,0.0,0.0,-0.3,-0.3,-1.4085
CKG,2023-08-09,15:08:04,HOSE,STOCK,24.25,25.9,22.6,24.3,24.7,24.0,24.3,24.37,24.3,24.7,24.0,24.3,24.37,203100.0,4949540000.0,0.0,0.0,0.05,0.05,0.2062
CCL,2023-08-09,15:08:04,HOSE,STOCK,8.08,8.64,7.52,8.0,8.14,7.92,8.14,8.05,8.0,8.14,7.92,8.14,8.05,291900.0,2350614000.0,0.0,0.0,0.06,0.06,0.7426
CDC,2023-08-09,15:08:04,HOSE,STOCK,18.35,19.6,17.1,18.3,18.35,18.2,18.35,18.25,18.3,18.35,18.2,18.35,18.25,477100.0,8707915000.0,0.0,0.0,0.0,0.0,0.0
C47,2023-08-09,15:08:04,HOSE,STOCK,8.14,8.7,7.58,8.14,8.29,8.11,8.29,8.22,8.14,8.29,8.11,8.29,8.22,567000.0,4661462000.0,0.0,0.0,0.15,0.15,1.8428
CAV,2023-08-09,15:08:04,HOSE,STOCK,65.9,70.5,61.3,65.7,66.0,62.7,65.7,64.81,65.7,66.0,62.7,65.7,64.81,5500.0,356430000.0,0.0,0.0,-0.2,-0.2,-0.3035
BKG,2023-08-09,15:08:04,HOSE,STOCK,4.91,5.25,4.57,4.86,5.12,4.86,5.05,5.03,4.86,5.12,4.86,5.05,5.03,599900.0,3016805000.0,0.0,0.0,0.14,0.14,2.8513
CLC,2023-08-09,15:08:04,HOSE,STOCK,34.9,37.3,32.5,34.3,34.85,34.3,34.85,34.31,34.3,34.85,34.3,34.85,34.31,34800.0,1193845000.0,0.0,0.0,-0.05,-0.05,-0.1433
CMX,2023-08-09,15:08:04,HOSE,STOCK,11.5,12.3,10.7,11.5,11.75,11.35,11.55,11.54,11.5,11.75,11.35,11.55,11.54,1873500.0,21616530000.0,0.0,0.0,0.05,0.05,0.4348
DAG,2023-08-09,15:08:04,HOSE,STOCK,5.37,5.74,5.0,5.4,5.57,5.38,5.44,5.46,5.4,5.57,5.38,5.44,5.46,1834400.0,10008860000.0,0.0,0.0,0.07,0.07,1.3035
CRC,2023-08-09,15:08:04,HOSE,STOCK,6.88,7.36,6.4,6.88,6.9,6.8,6.87,6.84,6.88,6.9,6.8,6.87,6.84,100300.0,685883000.0,0.0,0.0,-0.01,-0.01,-0.1453
CVT,2023-08-09,15:08:04,HOSE,STOCK,35.95,38.45,33.45,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,100.0,3590000.0,0.0,0.0,-0.05,-0.05,-0.1391
DAT,2023-08-09,15:08:04,HOSE,STOCK,11.5,12.3,10.7,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,18200.0,223860000.0,0.0,0.0,0.8,0.8,6.9565
DBC,2023-08-09,15:08:04,HOSE,STOCK,27.95,29.9,26.0,28.35,28.35,27.25,27.3,27.78,28.35,28.35,27.25,27.3,27.78,8190100.0,227521345000.0,0.0,0.0,-0.65,-0.65,-2.3256
DBD,2023-08-09,15:08:04,HOSE,STOCK,50.3,53.8,46.8,50.3,51.0,50.2,50.9,50.47,50.3,51.0,50.2,50.9,50.47,47400.0,2392340000.0,0.0,0.0,0.6,0.6,1.1928
CSM,2023-08-09,15:08:04,HOSE,STOCK,14.4,15.4,13.4,14.0,14.5,14.0,14.5,14.02,14.0,14.5,14.0,14.5,14.02,448800.0,6290755000.0,0.0,0.0,0.1,0.1,0.6944
CSV,2023-08-09,15:08:04,HOSE,STOCK,38.35,41.0,35.7,38.35,39.0,38.05,38.15,38.3,38.35,39.0,38.05,38.15,38.3,331200.0,12684950000.0,0.0,0.0,-0.2,-0.2,-0.5215
AGM,2023-08-09,15:08:04,HOSE,STOCK,13.5,14.4,12.6,14.4,14.4,12.6,12.6,13.52,14.4,14.4,12.6,12.6,13.52,1515400.0,20491780000.0,1039900.0,14944560000.0,-0.9,-0.9,-6.6667
ABT,2023-08-09,15:08:04,HOSE,STOCK,36.0,38.5,33.5,36.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADS,2023-08-09,15:08:04,HOSE,STOCK,16.6,17.75,15.45,16.7,17.2,16.55,17.0,16.89,16.7,17.2,16.55,17.0,16.89,1056200.0,17839200000.0,0.0,0.0,0.4,0.4,2.4096
ANV,2023-08-09,15:08:04,HOSE,STOCK,37.1,39.65,34.55,37.05,37.45,36.9,37.05,37.14,37.05,37.45,36.9,37.05,37.14,1447200.0,53749390000.0,0.0,0.0,-0.05,-0.05,-0.1348
AAA,2023-08-09,15:08:04,HOSE,STOCK,12.1,12.9,11.3,12.05,12.45,11.95,12.15,12.2,12.05,12.45,11.95,12.15,12.2,11670400.0,142357705000.0,0.0,0.0,0.05,0.05,0.4132
